"항목",전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국
"항목",전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자
"항목",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"항목",2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021
"TV시청",63.0,56.7,52.9,59.6,62.8,59.7,69.9,69.4,69.7,83.0,62.0,56.0,51.3,58.5,61.3,57.9,71.7,71.3,71.4,84.3,63.0,57.5,54.6,60.7,64.2,61.5,68.0,67.5,68.0,81.6
"여행",15.0,12.4,10.8,12.4,10.2,12.3,11.1,19.2,16.7,10.5,12.0,9.2,8.9,10.3,8.2,10.6,11.7,21.0,18.3,11.5,19.0,15.7,12.7,14.7,12.3,14.0,10.4,17.3,15.0,9.4
"문화 예술 참여",-,-,-,-,-,-,2.8,2.6,2.4,3.9,-,-,-,-,-,-,2.8,2.9,2.7,4.1,-,-,-,-,-,-,2.8,2.4,2.2,3.7
"문화예술관람",10.0,8.2,6.5,8.3,9.8,10.7,16.5,21.3,19.5,7.8,11.0,9.9,8.0,9.9,11.7,11.9,18.9,24.2,22.4,8.6,10.0,6.5,5.0,6.6,7.9,9.5,14.0,18.3,16.4,6.9
"스포츠관람",-,2.5,2.0,3.1,3.6,2.5,4.3,5.2,4.9,2.6,-,0.7,0.8,1.1,1.6,0.9,1.9,2.2,2.1,0.9,-,4.3,3.3,5.2,5.6,4.2,6.8,8.3,7.8,4.4
"스포츠 활동",11.0,9.0,9.0,10.3,10.1,9.7,13.4,15.4,13.9,15.0,4.0,3.6,3.9,4.3,4.3,4.2,6.8,8.6,8.3,10.2,20.0,14.6,14.2,16.7,16.0,15.5,20.2,22.3,19.7,19.8
"컴퓨터게임,PC통신",12.0,18.9,16.1,16.2,15.7,13.1,19.0,26.9,31.3,33.7,8.0,13.4,10.8,11.1,10.5,7.8,13.4,21.2,24.8,27.1,17.0,24.6,21.6,21.6,21.1,18.5,24.8,32.6,37.9,40.4
"창작적 취미",3.0,3.1,3.2,3.1,4.4,3.8,-,-,-,-,4.0,3.4,3.7,3.5,4.8,4.3,-,-,-,-,2.0,2.8,2.6,2.8,4.0,3.3,-,-,-,-
"자기계발",-,4.3,6.2,6.1,5.6,5.5,-,-,-,-,-,3.7,5.7,5.6,4.9,4.8,-,-,-,-,-,4.9,6.7,6.6,6.4,6.1,-,-,-,-
"사교관련",32.0,30.0,25.6,23.5,20.1,20.6,-,-,-,-,31.0,30.1,25.7,23.1,20.9,21.4,-,-,-,-,33.0,29.9,25.5,24.0,19.3,19.8,-,-,-,-
"봉사활동",-,2.2,1.1,1.6,0.9,1.1,-,-,-,-,-,2.6,1.3,1.8,1.0,1.3,-,-,-,-,-,1.8,0.9,1.3,0.7,0.8,-,-,-,-
"취미·자기개발 활동",-,-,-,-,-,-,14.7,17.6,18.6,22.6,-,-,-,-,-,-,15.0,17.9,18.9,24.6,-,-,-,-,-,-,14.4,17.2,18.4,20.4
"가족과 함께",23.0,24.7,-,-,-,-,-,-,-,-,24.0,25.4,-,-,-,-,-,-,-,-,22.0,23.8,-,-,-,-,-,-,-,-
"가사,잡일",34.0,32.9,30.2,31.0,29.4,29.0,-,-,-,-,49.0,48.0,45.2,46.8,44.9,43.7,-,-,-,-,17.0,17.1,14.5,14.6,13.3,13.8,-,-,-,-
"휴식,수면",51.0,50.7,45.1,42.0,37.3,37.9,50.8,64.9,68.9,70.7,49.0,49.1,41.9,39.1,34.9,35.7,53.9,67.5,71.9,73.8,53.0,52.4,48.5,45.1,39.7,40.2,47.5,62.3,65.9,67.6
"종교활동",-,-,15.0,14.2,14.0,13.2,-,-,-,-,-,-,18.5,17.9,17.2,16.4,-,-,-,-,-,-,11.3,10.4,10.8,9.8,-,-,-,-
"기타",4.0,2.9,0.9,1.1,1.0,1.1,2.1,0.5,0.2,9.7,4.0,3.5,0.8,1.1,0.8,1.1,2.5,0.6,0.2,12.0,3.0,2.3,0.9,1.2,1.2,1.2,1.6,0.4,0.3,7.4
"사회 및 기타 활동",-,-,-,-,-,-,11.3,12.8,15.3,0.4,-,-,-,-,-,-,14.3,15.8,18.6,0.5,-,-,-,-,-,-,8.3,9.7,12.0,0.4
