"항목",전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국
"항목",전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자
"항목",계,계,계,계,계,계,계,계,계,계,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,계,계,계,계,계,계,계,계,계,계,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,계,계,계,계,계,계,계,계,계,계,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,50~59세,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,60세 이상,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼,기혼
"항목",2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021,2000,2004,2007,2009,2011,2013,2015,2017,2019,2021
"TV시청",63.0,56.7,52.9,59.6,62.8,59.7,69.9,69.4,69.7,83.0,62.0,54.4,48.7,52.4,58.6,53.7,60.1,53.3,51.6,80.6,64.0,55.9,52.3,60.0,61.2,56.2,68.0,64.1,63.5,81.2,62.0,55.9,52.5,58.7,61.4,58.2,69.0,70.1,69.1,81.7,63.0,58.4,52.8,58.8,61.2,59.3,72.2,75.2,76.0,81.9,61.0,58.4,58.3,66.3,71.4,69.4,81.2,83.8,85.3,86.6,62.0,55.8,50.1,55.7,58.6,55.6,60.8,55.7,55.1,81.1,63.0,57.1,54.0,61.0,64.3,61.2,73.7,75.2,75.8,83.8,62.0,56.0,51.3,58.5,61.3,57.9,71.7,71.3,71.4,84.3,65.0,57.1,52.0,55.1,62.7,58.8,67.9,56.4,52.8,82.3,62.0,53.6,49.2,57.5,58.5,52.6,67.7,64.7,65.8,82.6,60.0,54.0,48.1,56.0,57.1,52.5,68.0,71.2,69.5,82.2,61.0,55.6,49.3,56.0,56.7,53.4,72.0,75.6,75.2,83.0,58.0,56.5,55.8,64.2,68.3,67.2,81.4,85.7,86.7,87.7,65.0,58.2,52.7,58.1,62.7,59.4,65.9,57.2,55.6,82.4,61.0,55.3,50.8,58.7,60.9,57.4,73.7,76.2,76.8,85.0,63.0,57.5,54.6,60.7,64.2,61.5,68.0,67.5,68.0,81.6,59.0,51.4,45.2,49.6,54.3,48.6,52.5,50.2,50.4,79.0,66.0,58.1,55.3,62.5,63.8,59.6,68.3,63.5,61.3,79.9,63.0,57.9,56.9,61.5,65.7,63.8,69.9,69.0,68.7,81.2,66.0,61.2,56.2,61.5,65.7,65.1,72.5,74.7,76.7,80.8,65.0,61.0,61.7,69.2,75.4,72.2,81.1,81.4,83.6,85.3,58.0,53.8,48.1,53.8,55.3,52.7,56.8,54.5,54.7,80.0,65.0,59.2,57.6,63.6,68.3,65.6,73.7,74.0,74.7,82.3
"여행",15.0,12.4,10.8,12.4,10.2,12.3,11.1,19.2,16.7,10.5,13.0,11.9,10.2,13.0,9.4,10.9,9.5,20.5,16.6,10.5,20.0,16.4,16.6,18.8,15.5,19.7,21.5,32.1,28.4,19.3,20.0,15.8,12.9,14.7,11.9,15.5,14.5,23.7,21.2,15.1,18.0,14.5,11.5,13.0,12.1,13.1,10.0,18.1,16.2,10.0,9.0,6.0,4.7,5.4,4.8,5.9,4.6,9.9,8.8,4.1,10.0,9.6,7.8,9.6,8.2,9.1,6.9,15.8,13.6,8.6,17.0,13.4,11.9,13.4,11.0,13.5,12.8,20.6,18.0,11.2,12.0,9.2,8.9,10.3,8.2,10.6,11.7,21.0,18.3,11.5,13.0,11.0,11.3,12.9,9.6,12.2,12.1,26.4,22.2,14.2,17.0,13.8,15.4,17.8,13.6,19.8,24.4,37.5,33.0,22.8,16.0,10.6,9.5,10.9,9.2,12.3,14.6,24.8,22.2,16.3,11.0,9.6,7.9,9.6,8.7,9.9,10.4,19.0,18.0,10.2,4.0,2.5,2.5,2.8,2.7,3.6,3.7,9.5,8.0,3.8,9.0,8.3,8.0,9.8,7.6,9.5,9.0,20.9,18.0,11.8,12.0,9.4,9.2,10.4,8.4,10.9,12.6,21.0,18.4,11.4,19.0,15.7,12.7,14.7,12.3,14.0,10.4,17.3,15.0,9.4,13.0,12.8,9.0,13.1,9.2,9.7,6.9,14.8,11.2,7.0,23.0,18.9,17.8,19.7,17.2,19.7,18.7,27.0,24.1,16.2,25.0,20.9,16.3,18.3,14.6,18.6,14.4,22.8,20.2,14.0,25.0,19.3,15.1,16.4,15.4,16.2,9.7,17.1,14.3,9.9,16.0,10.7,7.6,9.0,7.6,8.9,5.7,10.4,9.9,4.5,11.0,10.6,7.6,9.4,8.7,8.8,5.2,11.8,10.1,6.2,22.0,18.0,15.1,16.9,13.9,16.5,13.1,20.1,17.5,11.0
"문화 예술 참여",-,-,-,-,-,-,2.8,2.6,2.4,3.9,-,-,-,-,-,-,4.5,4.8,3.5,6.1,-,-,-,-,-,-,3.0,2.4,2.1,4.1,-,-,-,-,-,-,2.3,2.4,2.2,3.7,-,-,-,-,-,-,2.3,2.2,2.1,3.4,-,-,-,-,-,-,1.1,1.4,1.7,2.2,-,-,-,-,-,-,4.5,4.1,3.2,5.7,-,-,-,-,-,-,2.1,2.0,2.1,3.2,-,-,-,-,-,-,2.8,2.9,2.7,4.1,-,-,-,-,-,-,4.6,5.0,3.7,6.9,-,-,-,-,-,-,3.0,3.0,3.1,4.4,-,-,-,-,-,-,2.7,2.8,2.7,4.4,-,-,-,-,-,-,2.5,2.4,2.2,3.3,-,-,-,-,-,-,0.7,1.0,1.4,1.7,-,-,-,-,-,-,5.0,5.3,4.1,7.2,-,-,-,-,-,-,2.1,2.0,2.2,3.1,-,-,-,-,-,-,2.8,2.4,2.2,3.7,-,-,-,-,-,-,4.4,4.5,3.3,5.4,-,-,-,-,-,-,3.0,1.8,1.2,3.8,-,-,-,-,-,-,1.9,2.0,1.8,2.9,-,-,-,-,-,-,2.1,2.0,2.0,3.6,-,-,-,-,-,-,1.6,2.0,2.1,2.9,-,-,-,-,-,-,4.1,3.1,2.5,4.5,-,-,-,-,-,-,2.1,2.0,2.0,3.2
"문화예술관람",10.0,8.2,6.5,8.3,9.8,10.7,16.5,21.3,19.5,7.8,27.0,21.8,17.0,20.9,22.1,21.7,30.4,37.3,33.2,13.0,8.0,7.5,7.9,9.4,13.0,15.1,22.3,27.2,26.4,9.4,4.0,4.3,3.6,6.0,8.1,10.4,17.9,23.8,21.8,8.5,2.0,1.9,1.7,3.0,4.6,4.9,9.9,16.4,14.5,7.4,1.0,0.7,0.6,1.1,1.6,1.8,3.8,6.1,6.0,3.0,25.0,19.5,14.2,17.8,18.7,19.9,26.3,32.1,29.6,11.9,5.0,4.0,3.5,4.8,6.5,7.2,12.3,16.7,15.2,6.0,11.0,9.9,8.0,9.9,11.7,11.9,18.9,24.2,22.4,8.6,31.0,27.3,22.9,26.4,27.6,25.7,37.2,45.0,41.5,14.7,7.0,8.5,9.0,11.2,16.0,16.6,26.2,31.0,31.0,10.8,4.0,4.8,3.8,7.1,9.4,11.7,21.0,28.2,25.2,10.0,2.0,1.9,1.7,3.6,5.0,5.2,11.0,18.7,17.2,8.7,0.0,0.6,0.4,1.0,1.5,1.7,3.8,5.7,6.2,2.8,32.0,27.7,21.4,24.5,25.7,25.9,33.9,40.9,38.2,14.6,4.0,4.3,3.7,5.4,7.3,7.5,13.7,18.4,17.0,6.5,10.0,6.5,5.0,6.6,7.9,9.5,14.0,18.3,16.4,6.9,22.0,15.5,10.7,14.9,16.3,17.6,23.7,29.9,25.1,11.4,10.0,6.6,6.8,7.7,10.0,13.8,18.5,23.5,22.1,8.2,4.0,3.7,3.4,5.0,6.7,9.2,14.8,19.4,18.6,7.1,3.0,1.9,1.8,2.4,4.2,4.5,8.9,14.1,11.9,6.1,2.0,0.8,0.9,1.1,1.7,1.9,3.7,6.5,5.7,3.2,20.0,12.8,8.6,12.3,13.1,15.2,20.4,25.1,22.9,9.9,5.0,3.6,3.3,4.1,5.5,6.8,10.7,14.9,13.2,5.5
"스포츠관람",-,2.5,2.0,3.1,3.6,2.5,4.3,5.2,4.9,2.6,-,3.8,2.9,4.9,5.6,4.9,7.4,7.4,6.5,3.4,-,2.7,2.4,3.8,4.8,3.1,5.6,6.9,6.1,2.7,-,2.7,2.3,3.6,3.7,2.3,4.8,5.5,5.5,2.7,-,1.8,1.8,2.6,2.8,2.1,3.6,5.8,5.1,3.4,-,0.7,0.7,0.8,1.2,0.7,1.5,1.7,2.4,1.5,-,4.0,2.8,4.7,5.8,4.5,6.5,7.1,6.4,3.3,-,1.9,1.7,2.5,2.8,1.7,3.4,4.5,4.3,2.3,-,0.7,0.8,1.1,1.6,0.9,1.9,2.2,2.1,0.9,-,1.5,1.7,2.4,2.9,2.2,5.1,3.6,3.6,1.7,-,0.9,1.0,1.6,2.5,1.4,2.2,3.1,2.8,1.2,-,0.6,0.8,0.9,1.5,0.6,2.3,2.6,2.7,0.9,-,0.4,0.6,0.9,1.3,0.4,1.0,2.1,2.0,0.9,-,0.1,0.2,0.1,0.3,0.1,0.1,0.5,0.5,0.3,-,1.4,1.3,2.2,2.6,2.0,3.5,3.1,3.2,1.4,-,0.5,0.7,0.8,1.3,0.5,1.4,1.9,1.8,0.7,-,4.3,3.3,5.2,5.6,4.2,6.8,8.3,7.8,4.4,-,6.5,4.2,7.6,8.5,7.6,9.6,11.1,9.3,5.1,-,4.5,3.8,6.0,7.0,4.6,8.8,10.6,9.1,4.1,-,4.7,3.7,6.2,5.8,3.9,7.3,8.3,8.2,4.4,-,3.3,3.1,4.2,4.3,3.7,6.1,9.4,8.1,6.0,-,1.6,1.4,1.7,2.3,1.6,3.3,3.3,4.7,3.0,-,6.0,3.9,6.8,8.3,6.5,8.9,10.2,8.9,4.8,-,3.5,2.9,4.5,4.4,3.2,5.8,7.4,7.2,4.2
"스포츠 활동",11.0,9.0,9.0,10.3,10.1,9.7,13.4,15.4,13.9,15.0,13.0,9.3,8.4,10.5,8.8,9.7,12.3,13.1,12.0,12.7,12.0,8.8,9.4,9.6,8.9,8.4,12.2,13.0,12.2,11.5,13.0,10.9,12.6,14.7,14.2,13.0,16.4,17.9,16.2,16.6,10.0,9.0,9.5,11.5,12.1,11.7,16.2,19.9,17.3,20.3,7.0,5.4,4.0,5.2,5.0,5.0,8.2,12.5,11.9,14.1,15.0,11.1,9.4,11.0,11.0,10.8,14.9,15.2,12.8,12.8,10.0,8.2,8.8,10.1,9.7,9.3,12.8,15.4,14.4,15.8,4.0,3.6,3.9,4.3,4.3,4.2,6.8,8.6,8.3,10.2,4.0,2.9,2.2,2.9,2.5,3.0,4.4,5.2,5.7,7.5,5.0,3.7,4.9,4.0,3.7,3.6,6.6,7.8,7.2,7.2,5.0,4.9,6.5,6.6,7.2,6.4,9.3,10.9,10.1,10.8,4.0,5.5,4.6,6.3,6.3,6.2,10.3,12.3,11.8,14.6,2.0,2.2,2.2,2.4,2.2,2.5,4.4,8.0,8.0,11.0,4.0,2.8,2.2,3.0,3.2,3.0,5.3,5.7,5.5,6.8,4.0,3.8,4.5,4.6,4.6,4.5,7.3,9.6,9.3,11.3,20.0,14.6,14.2,16.7,16.0,15.5,20.2,22.3,19.7,19.8,23.0,16.3,15.2,18.7,15.4,16.4,20.0,20.8,18.1,17.6,20.0,13.7,13.7,15.0,13.9,13.0,17.6,18.0,16.8,15.4,21.0,16.9,18.6,22.5,20.9,19.4,23.3,24.8,22.2,22.2,15.0,12.4,14.3,16.7,17.8,17.2,22.1,27.4,22.8,25.9,12.0,9.8,6.4,8.8,8.6,8.2,13.2,18.2,16.8,17.9,25.0,17.8,15.2,17.5,17.2,16.8,22.4,22.7,18.6,17.5,17.0,13.2,13.8,16.3,15.6,14.9,19.1,22.1,20.2,21.0
